,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere
111,QuantNaryTreeLearner_Standard_Teacher,PDFA - c5909833a8dc41058f3269d0785b7496,12,12,1,3.4430946000002223,2559,2,1,1,1.0,1.0
112,QuantNaryTreeLearner_Standard_Teacher,PDFA - a842c777b9f14bed8be5d60b8491bc1c,11,11,1,3.422317600000042,2682,4,2,2,1.0,1.0
113,QuantNaryTreeLearner_Standard_Teacher,PDFA - 7e208cd937534a36ad96c4a0a63ba3ef,12,12,1,3.4436349000002338,2619,3,2,2,1.0,1.0
114,QuantNaryTreeLearner_Standard_Teacher,PDFA - a525b7132eb14a70975039c5dc65b251,10,10,1,3.529800299999806,2625,3,2,2,1.0,1.0
115,QuantNaryTreeLearner_Standard_Teacher,PDFA - 8d75279aee3a44cbb33e7f5b09892d51,13,13,1,3.2603362999998353,2565,2,1,1,1.0,1.0
116,QuantNaryTreeLearner_Standard_Teacher,PDFA - 5ac23df5da4447cdb65dfaddf9b2d4f4,12,12,1,3.32416239999975,2604,3,2,2,1.0,1.0
117,QuantNaryTreeLearner_Standard_Teacher,PDFA - 28efc2e4d3c04becb26f9752f6bfc740,7,7,1,3.2974655000002713,2529,2,1,1,1.0,1.0
118,QuantNaryTreeLearner_Standard_Teacher,PDFA - 3e04883d57bd446a8e5bee1d1feff984,9,9,1,3.4413336000002346,2661,3,2,2,1.0,1.0
119,QuantNaryTreeLearner_Standard_Teacher,PDFA - 61495fab97e3487886ccb558d65710a5,11,11,1,3.8058507000000645,3075,5,2,4,1.0,1.0
120,QuantNaryTreeLearner_Standard_Teacher,PDFA - d635261ae9b247419cca14f72b2af9b9,21,21,1,3.253631900000073,2664,7,3,4,1.0,1.0
121,QuantNaryTreeLearner_Standard_Teacher,PDFA - 14902f0e91aa4fb488986e05649480a1,19,19,1,4.071149400000195,3345,5,2,2,1.0,1.0
122,QuantNaryTreeLearner_Standard_Teacher,PDFA - 33ad40491f684982b7980eb3b30f47b0,17,16,1,3.7024826000001667,2811,5,2,3,1.0,1.0
123,QuantNaryTreeLearner_Standard_Teacher,PDFA - c2cc0e4984734a51bc2d0cc0da3bb6bb,24,24,1,3.852700299999924,3012,5,2,3,1.0,1.0
124,QuantNaryTreeLearner_Standard_Teacher,PDFA - 120cfa4fdb2d47f9b42b205c8d71c4be,25,25,1,5.605391899999631,4713,8,2,3,1.0,1.0
125,QuantNaryTreeLearner_Standard_Teacher,PDFA - ac7881d64c1748eaba3f17fc2d16b06d,19,19,1,3.7722807000000103,3207,6,2,3,1.0,1.0
126,QuantNaryTreeLearner_Standard_Teacher,PDFA - bb7215a9400249e8b8523d53289d2172,19,19,1,3.6646396000001005,2862,4,2,3,1.0,1.0
